pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q_w,q_x,q_y,q_z,wx,wy,wz
6.77049e+06,-12982.8,105129,-120.137,-940.703,7617.44,0.99951,0.0312963,7.92067e-05,-0.000113497,0.00688893,-8.91548e-06,-1.54713e-05
6.77048e+06,-13076.8,105891,-121.008,-940.702,7617.43,0.999499,0.0316409,7.87365e-05,-0.000114309,0.00690341,-9.29921e-06,-1.53665e-05
6.77047e+06,-13170.9,106653,-121.878,-940.7,7617.42,0.999488,0.0319863,7.8247e-05,-0.000115116,0.00691765,-9.68104e-06,-1.52615e-05
6.77046e+06,-13265,107415,-122.749,-940.698,7617.4,0.999477,0.0323323,7.77381e-05,-0.000115919,0.00693165,-1.00609e-05,-1.51564e-05
6.77044e+06,-13359,108176,-123.619,-940.697,7617.39,0.999466,0.0326791,7.72101e-05,-0.000116718,0.00694542,-1.04389e-05,-1.50512e-05
6.77043e+06,-13453.1,108938,-124.49,-940.695,7617.37,0.999454,0.0330265,7.66629e-05,-0.000117511,0.00695895,-1.08148e-05,-1.49459e-05
6.77042e+06,-13547.2,109700,-125.36,-940.693,7617.36,0.999443,0.0333746,7.60968e-05,-0.0001183,0.00697226,-1.11887e-05,-1.48405e-05
6.77041e+06,-13641.3,110462,-126.231,-940.691,7617.35,0.999431,0.0337233,7.55118e-05,-0.000119085,0.00698533,-1.15606e-05,-1.47351e-05
6.77039e+06,-13735.3,111223,-127.101,-940.69,7617.33,0.999419,0.0340727,7.49079e-05,-0.000119865,0.00699819,-1.19304e-05,-1.46297e-05
6.77038e+06,-13829.4,111985,-127.971,-940.688,7617.32,0.999407,0.0344227,7.42854e-05,-0.00012064,0.00701082,-1.22981e-05,-1.45243e-05
6.77037e+06,-13923.5,112747,-128.842,-940.686,7617.3,0.999395,0.0347734,7.36443e-05,-0.000121411,0.00702323,-1.26637e-05,-1.44189e-05
6.77036e+06,-14017.5,113508,-129.712,-940.684,7617.29,0.999383,0.0351246,7.29847e-05,-0.000122177,0.00703544,-1.30271e-05,-1.43135e-05
6.77034e+06,-14111.6,114270,-130.583,-940.682,7617.27,0.999371,0.0354765,7.23067e-05,-0.000122938,0.00704742,-1.33884e-05,-1.42083e-05
6.77033e+06,-14205.7,115032,-131.453,-940.681,7617.26,0.999358,0.0358289,7.16105e-05,-0.000123695,0.00705921,-1.37475e-05,-1.41031e-05
6.77032e+06,-14299.7,115794,-132.324,-940.679,7617.24,0.999345,0.0361819,7.08961e-05,-0.000124448,0.00707078,-1.41044e-05,-1.3998e-05
6.7703e+06,-14393.8,116555,-133.194,-940.677,7617.23,0.999332,0.0365355,7.01637e-05,-0.000125195,0.00708215,-1.4459e-05,-1.3893e-05
6.77029e+06,-14487.9,117317,-134.065,-940.675,7617.21,0.999319,0.0368897,6.94133e-05,-0.000125938,0.00709332,-1.48114e-05,-1.37882e-05
6.77028e+06,-14581.9,118079,-134.935,-940.673,7617.2,0.999306,0.0372444,6.86451e-05,-0.000126677,0.0071043,-1.51615e-05,-1.36836e-05
6.77026e+06,-14676,118840,-135.806,-940.671,7617.18,0.999293,0.0375996,6.78592e-05,-0.000127411,0.00711507,-1.55094e-05,-1.35791e-05
6.77025e+06,-14770.1,119602,-136.676,-940.669,7617.17,0.999279,0.0379554,6.70557e-05,-0.000128141,0.00712566,-1.5855e-05,-1.34748e-05
6.77024e+06,-14864.1,120364,-137.547,-940.668,7617.15,0.999266,0.0383117,6.62347e-05,-0.000128866,0.00713606,-1.61982e-05,-1.33707e-05
6.77022e+06,-14958.2,121126,-138.417,-940.666,7617.14,0.999252,0.0386684,6.53964e-05,-0.000129586,0.00714627,-1.65392e-05,-1.32669e-05
6.77021e+06,-15052.3,121887,-139.287,-940.664,7617.12,0.999238,0.0390257,6.45408e-05,-0.000130302,0.00715629,-1.68778e-05,-1.31633e-05
6.77019e+06,-15146.3,122649,-140.158,-940.662,7617.11,0.999224,0.0393835,6.3668e-05,-0.000131013,0.00716613,-1.72141e-05,-1.30599e-05
6.77018e+06,-15240.4,123411,-141.028,-940.66,7617.09,0.99921,0.0397418,6.27783e-05,-0.00013172,0.00717579,-1.7548e-05,-1.29568e-05
