a,e,i,RAAN,argp,nu
6.77813e+06,0.00100276,1.69367,0,0.0433211,6.27002
6.77813e+06,0.00100276,1.69367,0,0.0434836,6.26997
6.77813e+06,0.00100276,1.69367,0,0.043646,6.26992
6.77813e+06,0.00100277,1.69367,0,0.0438085,6.26987
6.77813e+06,0.00100277,1.69367,0,0.0439709,6.26982
6.77813e+06,0.00100277,1.69367,0,0.0441333,6.26977
6.77813e+06,0.00100277,1.69367,0,0.0442957,6.26972
6.77813e+06,0.00100277,1.69367,0,0.0444582,6.26968
6.77813e+06,0.00100277,1.69367,0,0.0446206,6.26963
6.77813e+06,0.00100277,1.69367,0,0.044783,6.26958
6.77813e+06,0.00100278,1.69367,0,0.0449454,6.26953
6.77813e+06,0.00100278,1.69367,0,0.0451079,6.26948
6.77813e+06,0.00100278,1.69367,0,0.0452703,6.26943
6.77813e+06,0.00100278,1.69367,0,0.0454327,6.26938
6.77813e+06,0.00100278,1.69367,0,0.0455951,6.26933
6.77813e+06,0.00100278,1.69367,0,0.0457575,6.26928
6.77813e+06,0.00100278,1.69367,0,0.0459199,6.26923
6.77813e+06,0.00100278,1.69367,0,0.0460823,6.26919
6.77813e+06,0.00100278,1.69367,0,0.0462447,6.26914
6.77813e+06,0.00100278,1.69367,0,0.0464071,6.26909
6.77813e+06,0.00100278,1.69367,0,0.0465695,6.26904
6.77813e+06,0.00100278,1.69367,0,0.0467319,6.26899
6.77813e+06,0.00100278,1.69367,0,0.0468942,6.26894
6.77813e+06,0.00100278,1.69367,0,0.0470566,6.26889
6.77813e+06,0.00100278,1.69367,0,0.047219,6.26884
6.77813e+06,0.00100278,1.69367,0,0.0473814,6.26879
6.77813e+06,0.00100278,1.69367,0,0.0475438,6.26874
6.77813e+06,0.00100278,1.69367,0,0.0477061,6.26869
6.77813e+06,0.00100278,1.69367,0,0.0478685,6.26865
6.77813e+06,0.00100278,1.69367,0,0.0480309,6.2686
6.77813e+06,0.00100278,1.69367,0,0.0481932,6.26855
6.77813e+06,0.00100278,1.69367,0,0.0483556,6.2685
6.77813e+06,0.00100278,1.69367,0,0.048518,6.26845
6.77813e+06,0.00100278,1.69367,0,0.0486803,6.2684
6.77813e+06,0.00100278,1.69367,0,0.0488427,6.26835
6.77813e+06,0.00100278,1.69367,0,0.049005,6.2683
6.77813e+06,0.00100278,1.69367,0,0.0491674,6.26825
6.77813e+06,0.00100278,1.69367,0,0.0493297,6.2682
6.77813e+06,0.00100278,1.69367,0,0.0494921,6.26816
6.77813e+06,0.00100278,1.69367,0,0.0496544,6.26811
6.77813e+06,0.00100278,1.69367,0,0.0498168,6.26806
6.77813e+06,0.00100278,1.69367,0,0.0499791,6.26801
6.77813e+06,0.00100278,1.69367,0,0.0501414,6.26796
6.77813e+06,0.00100278,1.69367,0,0.0503038,6.26791
